Maths,Reading,Class.Type,Teaching.Experience,Sex,FreeLunch,Race
473,447,small.class,7,girl,no,white
536,450,small.class,21,girl,no,black
463,439,regular.with.aide,0,boy,yes,black
559,448,regular,16,boy,no,white
489,447,small.class,5,boy,yes,white
454,431,regular,8,boy,yes,white
423,395,regular.with.aide,17,girl,yes,black
500,451,regular,3,girl,no,white
439,478,small.class,11,girl,no,black
528,455,small.class,10,girl,no,white
473,430,regular,13,boy,no,white
468,437,regular.with.aide,6,boy,no,white
559,474,small.class,0,boy,no,white
494,424,small.class,6,boy,no,white
528,490,regular.with.aide,18,boy,no,white
484,439,regular,13,boy,no,white
459,424,regular.with.aide,12,girl,yes,white
528,437,regular,1,girl,yes,black
478,422,small.class,8,girl,no,white
559,424,regular,13,boy,yes,white
454,431,regular,13,boy,no,white
473,451,regular.with.aide,3,boy,no,white
602,456,small.class,14,boy,yes,white
459,421,regular.with.aide,11,girl,yes,black
576,463,regular.with.aide,10,boy,yes,black
520,425,regular.with.aide,8,girl,no,black
559,522,regular,8,girl,no,white
459,413,regular.with.aide,5,girl,no,white
513,416,regular,13,boy,no,white
423,419,regular,0,girl,yes,black
494,431,regular.with.aide,3,girl,no,white
439,418,small.class,8,boy,no,white
434,422,regular,15,girl,yes,black
434,414,small.class,8,girl,yes,black
454,433,regular.with.aide,11,boy,yes,black
484,450,regular,10,girl,no,white
559,458,small.class,4,girl,yes,white
459,445,small.class,7,girl,no,white
506,439,small.class,17,boy,no,white
576,476,small.class,12,boy,no,white
484,467,regular,4,girl,no,white
434,416,regular.with.aide,10,girl,yes,black
528,480,small.class,0,boy,no,white
478,437,regular.with.aide,16,girl,no,white
602,465,small.class,18,boy,no,white
439,407,small.class,4,girl,yes,white
547,487,regular,12,girl,no,black
489,425,regular.with.aide,8,boy,no,white
500,447,small.class,14,girl,no,white
468,430,small.class,13,girl,no,white
547,480,small.class,14,girl,no,white
513,440,regular,5,girl,no,white
405,410,regular.with.aide,13,boy,no,black
506,413,small.class,5,girl,no,white
513,422,regular,1,girl,yes,black
559,442,small.class,5,girl,no,black
547,461,regular.with.aide,10,girl,yes,black
454,421,regular.with.aide,22,boy,yes,black
494,410,small.class,2,girl,yes,black
626,465,small.class,2,girl,no,black
500,436,regular,11,boy,no,white
449,398,regular.with.aide,5,boy,yes,white
528,442,regular.with.aide,8,girl,no,white
500,461,regular.with.aide,11,boy,no,white
506,436,regular,13,boy,yes,white
473,428,small.class,5,boy,no,white
444,411,regular,0,boy,yes,black
459,436,regular.with.aide,5,boy,no,white
463,436,small.class,4,girl,no,white
559,428,regular.with.aide,12,boy,no,white
536,472,regular,5,boy,no,white
473,434,regular.with.aide,11,boy,yes,black
500,443,small.class,8,boy,no,white
520,424,small.class,2,boy,yes,white
473,418,regular.with.aide,22,boy,yes,black
500,428,regular,11,boy,yes,black
468,440,small.class,14,boy,yes,black
513,436,regular.with.aide,7,boy,no,white
506,433,small.class,13,boy,no,black
473,448,regular.with.aide,8,boy,no,white
506,474,small.class,3,boy,yes,black
484,414,regular,15,boy,yes,black
468,411,small.class,20,girl,no,white
468,422,small.class,11,girl,no,black
412,395,small.class,20,girl,no,white
459,407,regular,6,girl,yes,black
506,472,regular,11,girl,no,white
